"Info","Info","Info","Objective","Objective","Extra Output","Extra Output","Variable","Variable",
"Iteration","Generation","Category","Cooling (Electric) (kWh)","Heating (Gas) (kWh)","Discomfort (All Clothing) (hr)","Lighting Energy (kWh)","Local shading type","Window Size","","","","","","","","",
"194","6","Pareto","9318.1053","10159.64155","143.0000","2894.19","2m Sidefin + 2.5m Overhang","Height: 3.6m, Width: 10m",
"195","6"," ","12754.5212","7960.43102","269.5000","2832.08","1.5m Overhang","Height: 3.6m, Width: 5m",
"196","6"," ","20181.0527","5928.915262","876.5000","2654.36","No shading","Height: 3.6m, Width: 1m",
"197","6"," ","11175.7312","8766.53307","167.0000","2858.15","2.0m Overhang","Height: 3.6m, Width: 10m",
"198","6"," ","7796.031676","13617.81124","323.5000","8780.93","2.5m Sidefin + 2.5 Louvre","Height: 3.6m, Width: 1m",
"199","6"," ","20181.0527","5928.915262","876.5000","2654.36","No shading","Height: 3.6m, Width: 1m",
"200","6"," ","9437.2725","9802.68373","128.0000","2908.66","2.5m Overhang","Height: 3.6m, Width: 1m",
"201","6","Pareto","9792.4029","9731.57918","139.0000","2876.41","0.5m Sidefin + 2.5m Overhang","Height: 3.6m, Width: 10m",
"202","6"," ","10944.7982","8848.3379","158.0000","2871.72","2.0m Overhang","Height: 3.6m, Width: 2.5m",
"203","6"," ","11098.0738","8795.84985","164.0000","2862.03","2.0m Overhang","Height: 3.6m, Width: 5m",
"204","6"," ","7948.61085","11997.48465","212.5000","2946.78","1m Sidefin + 1m Louvre","Height: 3.6m, Width: 10m",
"205","6"," ","6776.247749","14075.61868","329.0000","5186.35","1.5m Sidefin + 5m Overhang","Height: 3.6m, Width: 1m",
"206","6"," ","15004.282","7106.15182","430.5000","2819.07","1.0m Overhang","Height: 3.6m, Width: 5m",
"207","6"," ","7444.761095","13207.65615","270.0000","3497.39","0.5m Sidefin + 5m Overhang","Height: 3.6m, Width: 2.5m",
"208","6"," ","7446.85603","12706.19494","245.0000","3061.40","1m Sidefin + 1m Louvre","Height: 3.6m, Width: 2.5m",
"209","7"," ","7861.90939","11980.96032","210.0000","2717.62","0.5m Sidefin + 0.5m Louvre","Height: 3.6m, Width: 2.5m",
"210","7"," ","7444.761095","13207.65615","270.0000","3497.39","0.5m Sidefin + 5m Overhang","Height: 3.6m, Width: 2.5m",
"211","7"," ","7592.96811","12178.21009","239.5000","3758.88","2.5m Sidefin + 2.5m Overhang","Height: 3.6m, Width: 2.5m",
"212","7"," ","16898.319","6608.95308","578.5000","2655.27","0.5m Overhang","Height: 3.6m, Width: 1m",
"213","7"," ","9199.8201","10271.70555","146.5000","2926.78","2.5m Sidefin + 2.5m Overhang","Height: 3.6m, Width: 10m",
"214","7","Pareto","9807.3793","9658.97983","133.5000","2880.23","2.5m Overhang","Height: 3.6m, Width: 2.5m",
"215","7"," ","7948.61085","11997.48465","212.5000","2946.78","1m Sidefin + 1m Louvre","Height: 3.6m, Width: 10m",
"216","7"," ","16898.319","6608.95308","578.5000","2655.27","0.5m Overhang","Height: 3.6m, Width: 1m",
"217","7"," ","16964.4016","7143.78094","626.0000","2697.42","1m Sidefin","Height: 3.6m, Width: 2.5m",
"218","7"," ","18036.0435","6368.02866","655.0000","2628.95","0.5m Overhang","Height: 3.6m, Width: 5m",
"219","7"," ","20181.0527","5928.915262","876.5000","2654.36","No shading","Height: 3.6m, Width: 1m",
"220","7"," ","17959.124","6972.01044","727.0000","2687.29","2.5m Sidefin","Height: 3.6m, Width: 5m",
"221","7"," ","20181.0527","5928.915262","876.5000","2654.36","No shading","Height: 3.6m, Width: 1m",
